Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW45,SW_Push,MX-Alps-Choc-1U-NoLED,200.48121,-139.689145,0.0,top
SW46,SW_Push,MX-Alps-Choc-1U-NoLED,219.4576,-139.677803,0.0,top
SW47,SW_Push,MX-Alps-Choc-1U-NoLED,238.454704,-139.684832,0.0,top
SW48,SW_Push,MX-Alps-Choc-1U-NoLED,269.380212,-135.617426,15.0,top
SW49,SW_Push,MX-Alps-Choc-1U-NoLED,287.134456,-128.403852,15.0,top
SW50,SW_Push,MX-Alps-Choc-1U-NoLED,305.254877,-122.21411,15.0,top
SW51,SW_Push,MX-Alps-Choc-1U-NoLED,323.921589,-118.525014,15.0,top
SW52,SW_Push,MX-Alps-Choc-1U-NoLED,343.629009,-118.218472,15.0,top
SW53,SW_Push,MX-Alps-Choc-1U-NoLED,362.382385,-114.724984,15.0,top
SW54,SW_Push,MX-Alps-Choc-1U-NoLED,380.417367,-108.380442,15.0,top
SW55,SW_Push,MX-Alps-Choc-1U-NoLED,34.430959,-126.658862,-15.0,top
SW56,SW_Push,MX-Alps-Choc-1U-NoLED,52.485161,-133.022237,-15.0,top
SW57,SW_Push,MX-Alps-Choc-1U-NoLED,71.254435,-136.488539,-15.0,top
SW58,SW_Push,MX-Alps-Choc-1U-NoLED,90.89217,-136.901575,-15.0,top
SW59,SW_Push,MX-Alps-Choc-1U-NoLED,109.642704,-140.479255,-15.0,top
SW60,SW_Push,MX-Alps-Choc-1U-NoLED,127.743775,-146.766492,-15.0,top
SW61,SW_Push,MX-Alps-Choc-1U-NoLED,145.485856,-153.898351,-15.0,top
SW62,SW_Push,MX-Alps-Choc-1U-NoLED,181.49021,-158.719962,0.0,top
SW63,SW_Push,MX-Alps-Choc-1U-NoLED,200.481345,-158.720277,0.0,top
SW64,SW_Push,MX-Alps-Choc-1U-NoLED,219.474685,-158.703844,0.0,top
SW65,SW_Push,MX-Alps-Choc-1U-NoLED,238.466643,-158.701118,0.0,top
SW66,SW_Push,MX-Alps-Choc-1U-NoLED,274.316445,-153.973288,15.0,top
SW67,SW_Push,MX-Alps-Choc-1U-NoLED,292.061974,-146.817764,15.0,top
